001 t5 t7 t3 t8 t5 t7 t1 t8 t2 t7 t2 t7 t5 t8 t2 t8 t3 .	001 100 101 000 011 010 001 010 110
101 t3 t7 t1 t8 t4 t7 t6 t7 t1 t7 t1 t8 t4 t8 t6 t7 t1 .	101 000 011 010 001 100 101 000 111
100 t6 t8 t5 t8 t6 t8 t3 t7 t3 t7 t1 t8 t1 t8 t6 t8 t2 .	100 101 000 011 010 001 010 110 111
100 t1 t7 t5 t7 t2 t8 t3 t8 t4 t7 t1 t7 t4 t7 t4 t7 t6 .	100 011 010 110 111 101 000 111 101
101 t4 t7 t2 t7 t2 t7 t3 t8 t4 t8 t1 t7 t5 t8 t4 t8 t3 .	101 000 111 101 000 011 010 110 111
110 t3 t8 t2 t8 t5 t7 t5 t8 t1 t7 t2 t8 t2 t8 t4 t7 t6 .	110 111 100 011 001 100 101 000 111
100 t3 t8 t2 t7 t2 t7 t3 t7 t1 t8 t4 t8 t6 t7 t5 t7 t6 .	100 101 000 111 101 000 011 010 001
001 t6 t7 t2 t8 t6 t8 t6 t7 t4 t8 t1 t8 t6 t7 t1 t8 t2 .	001 100 101 000 111 100 101 000 011
100 t1 t7 t6 t8 t1 t8 t5 t7 t2 t7 t6 t7 t1 t8 t4 t7 t6 .	100 011 001 010 001 100 011 001 100
011 t6 t7 t1 t8 t4 t7 t2 t8 t3 t8 t4 t7 t6 t7 t4 t8 t3 .	011 010 110 110 111 100 011 010 110
010 t3 t8 t6 t8 t1 t7 t1 t8 t3 t8 t6 t8 t6 t8 t1 t8 t1 .	010 110 111 101 000 011 001 010 110
100 t3 t8 t2 t7 t1 t8 t4 t7 t1 t7 t2 t7 t2 t8 t2 t8 t5 .	100 101 000 011 010 001 100 101 000
000 t3 t8 t2 t7 t2 t8 t5 t8 t4 t7 t3 t8 t3 t8 t2 t8 t5 .	000 011 010 110 111 101 000 011 001
010 t6 t8 t2 t7 t5 t7 t6 t8 t5 t8 t4 t8 t2 t7 t2 t8 t6 .	010 110 110 110 111 100 101 000 011
101 t4 t8 t6 t7 t1 t8 t6 t8 t3 t7 t5 t7 t3 t8 t4 t8 t1 .	101 000 111 100 101 000 111 100 101
100 t3 t8 t6 t8 t3 t8 t1 t8 t3 t7 t4 t7 t3 t8 t5 t7 t2 .	100 101 000 011 001 100 011 001 100
100 t6 t7 t2 t8 t2 t7 t5 t8 t6 t8 t1 t7 t6 t8 t5 t7 t5 .	100 011 001 100 101 000 111 100 011
101 t1 t8 t2 t8 t6 t8 t3 t8 t5 t8 t1 t8 t5 t7 t2 t8 t5 .	101 000 011 001 010 110 111 101 000
011 t6 t7 t4 t8 t3 t7 t5 t7 t1 t8 t2 t8 t5 t7 t3 t7 t1 .	011 010 110 110 110 111 100 011 010
110 t1 t7 t3 t7 t4 t7 t3 t7 t3 t8 t6 t8 t3 t8 t2 t8 t2 .	110 110 110 110 110 111 100 101 000
